Host,Address,Transport,Port,Service,Component,Version
bitmex.com,13.33.47.22,tcp,80,http,amazon/s3,
bitmex.com,13.33.47.22,tcp,443,http,amazon/cloudfront,
bitmex.com,13.33.47.22,tcp,443,https,amazon/s3,
bitmex.com,13.33.47.141,tcp,80,http,amazon/s3,
bitmex.com,13.33.47.141,tcp,443,http,amazon/cloudfront,
bitmex.com,13.33.47.141,tcp,443,https,amazon/s3,
bitmex.com,13.33.47.205,tcp,80,http,amazon/s3,
bitmex.com,13.33.47.205,tcp,443,http,amazon/cloudfront,
bitmex.com,13.33.47.205,tcp,443,https,amazon/s3,
bitmex.com,13.33.47.253,tcp,80,http,amazon/s3,
bitmex.com,13.33.47.253,tcp,443,http,amazon/cloudfront,
bitmex.com,13.33.47.253,tcp,443,https,amazon/s3,
public.bitmex.com,13.33.47.65,tcp,80,http,amazon/cloudfront,
public.bitmex.com,13.33.47.65,tcp,443,http,amazon/cloudfront,
public.bitmex.com,13.33.47.65,tcp,443,https,amazon/s3,
public.bitmex.com,13.33.47.164,tcp,80,http,amazon/cloudfront,
public.bitmex.com,13.33.47.164,tcp,443,http,amazon/cloudfront,
public.bitmex.com,13.33.47.164,tcp,443,https,amazon/s3,
public.bitmex.com,13.33.47.173,tcp,80,http,amazon/cloudfront,
public.bitmex.com,13.33.47.173,tcp,443,http,amazon/cloudfront,
public.bitmex.com,13.33.47.173,tcp,443,https,amazon/s3,
public.bitmex.com,13.33.47.197,tcp,80,http,amazon/cloudfront,
public.bitmex.com,13.33.47.197,tcp,443,http,amazon/cloudfront,
public.bitmex.com,13.33.47.197,tcp,443,https,amazon/s3,
www.bitmex.com,34.246.236.176,tcp,443,http,amazon/awselb,2.0
www.bitmex.com,52.16.161.206,tcp,443,http,amazon/awselb,2.0
www.bitmex.com,52.51.125.131,tcp,443,http,amazon/awselb,2.0
www.bitmex.com,54.72.114.21,tcp,443,http,amazon/awselb,2.0
www.bitmex.com,54.77.89.171,tcp,443,http,amazon/awselb,2.0
www.bitmex.com,54.77.142.10,tcp,443,http,amazon/awselb,2.0
www.bitmex.com,54.77.181.158,tcp,443,http,amazon/awselb,2.0
www.bitmex.com,54.171.58.202,tcp,443,http,amazon/awselb,2.0
